pg_type, map_type, num_threads, num_packets, time 
3, book_coarse, 3, 1000000, 736
3, book_coarse, 4, 1000000, 528
3, book_coarse, 8, 1000000, 531
3, book_coarse, 16, 1000000, 670
3, book_coarse, 32, 1000000, 854
3, book_striped, 3, 1000000, 518
3, book_striped, 4, 1000000, 440
3, book_striped, 8, 1000000, 620
3, book_striped, 16, 1000000, 699
3, book_striped, 32, 1000000, 838
3, java_coarse, 3, 1000000, 393
3, java_coarse, 4, 1000000, 427
3, java_coarse, 8, 1000000, 551
3, java_coarse, 16, 1000000, 583
3, java_coarse, 32, 1000000, 794
3, java_concurrent, 3, 1000000, 401
3, java_concurrent, 4, 1000000, 416
3, java_concurrent, 8, 1000000, 501
3, java_concurrent, 16, 1000000, 626
3, java_concurrent, 32, 1000000, 829
3, github_nonblocking, 3, 1000000, 574
3, github_nonblocking, 4, 1000000, 581
3, github_nonblocking, 8, 1000000, 503
3, github_nonblocking, 16, 1000000, 728
3, github_nonblocking, 32, 1000000, 730
3, serial, 1, 1000000, 650
-,-,-,-,- 
