pg_type, map_type, num_threads, num_packets, time 
0, book_coarse, 3, 100, 7
0, book_coarse, 4, 100, 4
0, book_coarse, 8, 100, 6
0, book_coarse, 16, 100, 9
0, book_coarse, 32, 100, 5
0, book_striped, 3, 100, 2
0, book_striped, 4, 100, 2
0, book_striped, 8, 100, 4
0, book_striped, 16, 100, 5
0, book_striped, 32, 100, 5
0, java_coarse, 3, 100, 3
0, java_coarse, 4, 100, 0
0, java_coarse, 8, 100, 1
0, java_coarse, 16, 100, 3
0, java_coarse, 32, 100, 3
0, java_concurrent, 3, 100, 0
0, java_concurrent, 4, 100, 1
0, java_concurrent, 8, 100, 1
0, java_concurrent, 16, 100, 3
0, java_concurrent, 32, 100, 3
0, github_nonblocking, 3, 100, 1
0, github_nonblocking, 4, 100, 1
0, github_nonblocking, 8, 100, 1
0, github_nonblocking, 16, 100, 2
0, github_nonblocking, 32, 100, 4
0, serial, 1, 100, 0
-,-,-,-,- 
1, book_coarse, 3, 100, 2
1, book_coarse, 4, 100, 1
1, book_coarse, 8, 100, 1
1, book_coarse, 16, 100, 2
1, book_coarse, 32, 100, 3
1, book_striped, 3, 100, 0
1, book_striped, 4, 100, 0
1, book_striped, 8, 100, 1
1, book_striped, 16, 100, 2
1, book_striped, 32, 100, 4
1, java_coarse, 3, 100, 1
1, java_coarse, 4, 100, 1
1, java_coarse, 8, 100, 1
1, java_coarse, 16, 100, 2
1, java_coarse, 32, 100, 7
1, java_concurrent, 3, 100, 1
1, java_concurrent, 4, 100, 0
1, java_concurrent, 8, 100, 3
1, java_concurrent, 16, 100, 2
1, java_concurrent, 32, 100, 3
1, github_nonblocking, 3, 100, 3
1, github_nonblocking, 4, 100, 2
1, github_nonblocking, 8, 100, 2
1, github_nonblocking, 16, 100, 3
1, github_nonblocking, 32, 100, 5
1, serial, 1, 100, 0
-,-,-,-,- 
2, book_coarse, 3, 100, 2
2, book_coarse, 4, 100, 0
2, book_coarse, 8, 100, 4
2, book_coarse, 16, 100, 7
2, book_coarse, 32, 100, 3
2, book_striped, 3, 100, 1
2, book_striped, 4, 100, 2
2, book_striped, 8, 100, 2
2, book_striped, 16, 100, 1
2, book_striped, 32, 100, 3
2, java_coarse, 3, 100, 0
2, java_coarse, 4, 100, 0
2, java_coarse, 8, 100, 0
2, java_coarse, 16, 100, 2
2, java_coarse, 32, 100, 4
2, java_concurrent, 3, 100, 0
2, java_concurrent, 4, 100, 0
2, java_concurrent, 8, 100, 1
2, java_concurrent, 16, 100, 2
2, java_concurrent, 32, 100, 3
2, github_nonblocking, 3, 100, 0
2, github_nonblocking, 4, 100, 0
2, github_nonblocking, 8, 100, 1
2, github_nonblocking, 16, 100, 2
2, github_nonblocking, 32, 100, 3
2, serial, 1, 100, 0
-,-,-,-,- 
3, book_coarse, 3, 100, 0
3, book_coarse, 4, 100, 0
3, book_coarse, 8, 100, 0
3, book_coarse, 16, 100, 1
3, book_coarse, 32, 100, 3
3, book_striped, 3, 100, 0
3, book_striped, 4, 100, 1
3, book_striped, 8, 100, 0
3, book_striped, 16, 100, 2
3, book_striped, 32, 100, 2
3, java_coarse, 3, 100, 0
3, java_coarse, 4, 100, 1
3, java_coarse, 8, 100, 0
3, java_coarse, 16, 100, 1
3, java_coarse, 32, 100, 2
3, java_concurrent, 3, 100, 1
3, java_concurrent, 4, 100, 0
3, java_concurrent, 8, 100, 1
3, java_concurrent, 16, 100, 1
3, java_concurrent, 32, 100, 4
3, github_nonblocking, 3, 100, 1
3, github_nonblocking, 4, 100, 0
3, github_nonblocking, 8, 100, 1
3, github_nonblocking, 16, 100, 3
3, github_nonblocking, 32, 100, 7
3, serial, 1, 100, 0
-,-,-,-,- 
4, book_coarse, 3, 100, 1
4, book_coarse, 4, 100, 0
4, book_coarse, 8, 100, 1
4, book_coarse, 16, 100, 2
4, book_coarse, 32, 100, 4
4, book_striped, 3, 100, 0
4, book_striped, 4, 100, 0
4, book_striped, 8, 100, 0
4, book_striped, 16, 100, 5
4, book_striped, 32, 100, 3
4, java_coarse, 3, 100, 0
4, java_coarse, 4, 100, 0
4, java_coarse, 8, 100, 3
4, java_coarse, 16, 100, 2
4, java_coarse, 32, 100, 4
4, java_concurrent, 3, 100, 0
4, java_concurrent, 4, 100, 0
4, java_concurrent, 8, 100, 3
4, java_concurrent, 16, 100, 3
4, java_concurrent, 32, 100, 9
4, github_nonblocking, 3, 100, 0
4, github_nonblocking, 4, 100, 1
4, github_nonblocking, 8, 100, 1
4, github_nonblocking, 16, 100, 2
4, github_nonblocking, 32, 100, 3
4, serial, 1, 100, 0
-,-,-,-,- 
5, book_coarse, 3, 100, 1
5, book_coarse, 4, 100, 1
5, book_coarse, 8, 100, 0
5, book_coarse, 16, 100, 1
5, book_coarse, 32, 100, 4
5, book_striped, 3, 100, 0
5, book_striped, 4, 100, 0
5, book_striped, 8, 100, 1
5, book_striped, 16, 100, 1
5, book_striped, 32, 100, 3
5, java_coarse, 3, 100, 0
5, java_coarse, 4, 100, 0
5, java_coarse, 8, 100, 1
5, java_coarse, 16, 100, 2
5, java_coarse, 32, 100, 3
5, java_concurrent, 3, 100, 0
5, java_concurrent, 4, 100, 2
5, java_concurrent, 8, 100, 1
5, java_concurrent, 16, 100, 11
5, java_concurrent, 32, 100, 19
5, github_nonblocking, 3, 100, 2
5, github_nonblocking, 4, 100, 2
5, github_nonblocking, 8, 100, 1
5, github_nonblocking, 16, 100, 2
5, github_nonblocking, 32, 100, 4
5, serial, 1, 100, 0
-,-,-,-,- 
6, book_coarse, 3, 100, 0
6, book_coarse, 4, 100, 1
6, book_coarse, 8, 100, 1
6, book_coarse, 16, 100, 2
6, book_coarse, 32, 100, 3
