pg_type, map_type, num_threads, num_packets, time 
3, book_coarse, 1, 10, 1
3, book_coarse, 2, 10, 0
3, book_coarse, 4, 10, 1
3, book_coarse, 8, 10, 2
3, book_coarse, 16, 10, 1
3, book_striped, 1, 10, 0
3, book_striped, 2, 10, 0
3, book_striped, 4, 10, 0
3, book_striped, 8, 10, 1
3, book_striped, 16, 10, 2
3, java_coarse, 1, 10, 0
3, java_coarse, 2, 10, 0
3, java_coarse, 4, 10, 0
3, java_coarse, 8, 10, 0
3, java_coarse, 16, 10, 2
3, java_concurrent, 1, 10, 0
3, java_concurrent, 2, 10, 0
3, java_concurrent, 4, 10, 0
3, java_concurrent, 8, 10, 0
3, java_concurrent, 16, 10, 2
3, github_nonblocking, 1, 10, 0
3, github_nonblocking, 2, 10, 0
3, github_nonblocking, 4, 10, 0
3, github_nonblocking, 8, 10, 1
3, github_nonblocking, 16, 10, 1
3, serial, 1, 10, 0
-,-,-,-,- 
